Country,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)",Births (thousands),"Crude Birth Rate (births per 1,000 population)","Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)",Pop_Age_0(In Thousands),MCV1_TARGET
Uzbekistan,2024,36010.454,36361.859,929.292,25.557,11.362,12.202,13.671,14.765,-7.066,-0.194,926.726,1223.27832
Uzbekistan,2023,35294.16,35652.307,943.547,26.465,10.484,11.137,12.621,13.594,-6.004,-0.168,925.9425,1222.2441
Uzbekistan,2022,34583.751,34938.955,926.734,26.524,10.311,11.16,12.251,13.546,-5.007,-0.143,906.952,1197.17664
Uzbekistan,2021,33903.64,34243.696,905.756,26.45,10.582,11.757,12.601,14.322,-9.205,-0.269,873.893,1153.53876
Uzbekistan,2020,33269.104,33586.372,860.945,25.634,10.541,12.327,12.566,14.988,-9.208,-0.274,828.506,1093.62792
Uzbekistan,2019,32660.298,32964.701,814.964,24.722,10.531,12.997,12.465,15.613,-9.341,-0.283,786.56,1027.771733
Uzbekistan,2018,32086.683,32373.49,777.185,24.007,10.618,13.747,12.632,16.524,-11.516,-0.356,747.989,957.42592
Uzbekistan,2017,31551.672,31819.178,738.081,23.196,10.767,14.595,12.871,17.557,-13.352,-0.42,726.8105,959.38986
Uzbekistan,2016,31017.464,31284.568,735.6,23.513,11.452,15.567,13.639,18.745,-14.839,-0.474,725.762,958.00584
Uzbekistan,2015,30481.229,30749.346,737.436,23.982,12.268,16.683,14.54,20.113,-16.545,-0.538,717.571,947.19372
Uzbekistan,2014,29964.758,30222.994,720.69,23.846,12.865,17.959,15.26,21.686,-20.381,-0.674,690.028,910.83696
Uzbekistan,2013,29483.372,29724.065,683.338,22.989,13.174,19.41,15.756,23.48,-20.38,-0.686,650.7035,841.5765267
Uzbekistan,2012,29040.434,29261.903,642.549,21.959,13.491,21.037,16.313,25.506,-20.381,-0.696,624.605,824.4786
Uzbekistan,2011,28605.957,28823.196,632.051,21.929,14.454,22.844,17.525,27.771,-20.38,-0.707,621.026,819.75432
Uzbekistan,2010,28165.056,28385.506,637.218,22.449,15.85,24.825,19.146,30.265,-20.38,-0.718,627.1295,819.4492133
Uzbekistan,2009,27713.601,27939.328,646.638,23.144,17.404,26.967,20.897,32.987,-20.378,-0.729,625.743,792.6078
Uzbekistan,2008,27275.948,27494.774,636.649,23.155,18.477,29.246,22.16,35.899,-24.028,-0.874,602.836,787.7057067
Uzbekistan,2007,26876.068,27076.008,601.991,22.233,18.84,31.638,22.774,38.982,-27.013,-0.998,563.718,736.59152
Uzbekistan,2006,26522.019,26699.043,558.517,20.919,18.936,34.102,23.211,42.187,-29.197,-1.094,531.4805,694.4678533
Uzbekistan,2005,26191.93,26356.975,537.796,20.404,19.677,36.6,24.339,45.462,-33.386,-1.267,519.698,686.00136
Uzbekistan,2004,25866.77,26029.35,536.325,20.605,20.895,39.084,25.991,48.748,-38.834,-1.492,513.1025,670.4539333
Uzbekistan,2003,25555.748,25711.259,526.166,20.464,21.882,41.507,27.468,51.979,-44.092,-1.715,509.5695,672.63174
Uzbekistan,2002,25244.211,25399.98,530.875,20.901,23.254,43.813,29.397,55.083,-47.679,-1.877,510.315,660.0074
Uzbekistan,2001,24936.354,25090.283,529.342,21.097,24.422,45.955,31.224,57.986,-48.642,-1.939,513.3025,677.5593
Uzbekistan,2000,24637.755,24787.054,538.8,21.737,26.014,47.895,33.551,60.649,-66.547,-2.685,526.4685,694.93842
Uzbekistan,1999,24314.262,24476.008,558.166,22.805,27.923,49.562,36.197,62.932,-61.955,-2.531,546.1615,699.08672
Uzbekistan,1998,23955.596,24134.929,580.56,24.055,29.987,50.97,38.951,64.881,-49.862,-2.066,572.331,724.9526
Uzbekistan,1997,23562.324,23758.96,613.334,25.815,32.334,52.096,41.864,66.435,-48.36,-2.035,602.0715,770.65152
Uzbekistan,1996,23141.638,23351.981,643.273,27.547,34.375,52.973,44.349,67.656,-50.314,-2.155,626.676,793.7896
Uzbekistan,1995,22693.539,22917.589,665.17,29.024,35.777,53.623,46.11,68.562,-45.876,-2.002,639.873,776.37924
Uzbekistan,1994,22233.043,22463.291,671.086,29.875,36.607,54.085,47.183,69.209,-41.788,-1.86,652.9185,618.09618
Uzbekistan,1993,21742.867,21987.955,692.561,31.497,37.947,54.428,48.58,69.69,-37.377,-1.7,671.0135,733.6414267
Uzbekistan,1992,21227.314,21485.09,708.97,32.998,38.907,54.751,49.454,70.143,-33.259,-1.548,680.564,762.23168
